Day of Date,EW,Artibonite,Centre,GrandeAnse,Nippes,Nord,NordEst,NordOuest,Ouest,Sud,SudEst
2016-09-01,"EW 35, 2016",21,12.0,7.0,2,10.0,0,2,20,1,0
2016-09-02,"EW 35, 2016",15,10.0,10.0,2,13.0,2,1,21,2,1
2016-09-03,"EW 35, 2016",19,8.0,7.0,1,7.0,0,3,27,1,0
2016-09-04,"EW 36, 2016",20,15.0,4.0,0,6.0,0,2,34,0,0
2016-09-05,"EW 36, 2016",29,11.0,5.0,0,9.0,0,13,36,0,0
2016-09-06,"EW 36, 2016",21,13.0,1.0,0,4.0,0,17,36,1,2
2016-09-07,"EW 36, 2016",28,14.0,8.0,0,3.0,0,22,24,0,0
2016-09-08,"EW 36, 2016",18,11.0,9.0,1,7.0,0,29,21,0,0
2016-09-09,"EW 36, 2016",21,16.0,4.0,0,10.0,0,12,36,2,0
2016-09-10,"EW 36, 2016",8,24.0,4.0,1,5.0,0,3,18,0,0
2016-09-11,"EW 37, 2016",17,10.0,4.0,0,10.0,5,1,29,1,0
2016-09-12,"EW 37, 2016",16,19.0,2.0,1,7.0,1,3,29,0,0
2016-09-13,"EW 37, 2016",11,14.0,2.0,0,10.0,3,4,40,0,0
2016-09-14,"EW 37, 2016",14,26.0,6.0,1,2.0,1,2,24,1,0
2016-09-15,"EW 37, 2016",12,19.0,2.0,2,10.0,2,2,21,0,0
2016-09-16,"EW 37, 2016",11,13.0,6.0,0,10.0,1,1,35,0,0
2016-09-17,"EW 37, 2016",18,20.0,8.0,1,7.0,1,1,29,2,2
2016-09-18,"EW 38, 2016",20,16.0,2.0,2,12.0,1,1,39,0,0
2016-09-19,"EW 38, 2016",25,13.0,5.0,3,7.0,0,2,21,1,0
2016-09-20,"EW 38, 2016",15,15.0,5.0,0,8.0,0,3,22,1,2
2016-09-21,"EW 38, 2016",10,19.0,4.0,1,4.0,1,1,26,0,3
2016-09-22,"EW 38, 2016",16,16.0,7.0,1,5.0,0,2,31,0,0
2016-09-23,"EW 38, 2016",12,24.0,6.0,0,6.0,1,2,28,2,3
2016-09-24,"EW 38, 2016",18,15.0,12.0,0,3.0,0,2,24,0,2
2016-09-25,"EW 39, 2016",8,20.0,6.0,1,2.0,0,4,24,1,1
2016-09-26,"EW 39, 2016",0,21.0,3.0,1,5.0,0,3,22,1,2
2016-09-27,"EW 39, 2016",25,8.0,4.0,0,6.0,0,2,26,0,3
2016-09-28,"EW 39, 2016",18,22.0,2.0,0,10.0,1,1,15,4,5
2016-09-29,"EW 39, 2016",7,21.0,5.0,0,6.0,2,1,16,13,8
2016-09-30,"EW 39, 2016",12,9.0,3.0,0,7.0,0,3,9,11,0
2016-10-01,"EW 39, 2016",19,14.0,2.0,0,12.0,0,0,25,15,1
2016-10-02,"EW 40, 2016",10,15.0,5.0,0,6.0,0,1,26,13,0
2016-10-03,"EW 40, 2016",12,13.0,3.0,0,11.0,6,0,30,10,0
2016-10-04,"EW 40, 2016",15,7.0,2.0,0,5.0,0,2,20,6,1
2016-10-05,"EW 40, 2016",26,18.0,7.0,0,6.0,0,6,34,9,3
2016-10-06,"EW 40, 2016",22,14.0,11.0,1,8.0,0,5,35,22,1
2016-10-07,"EW 40, 2016",14,16.0,42.0,3,9.0,0,3,35,17,2
2016-10-08,"EW 40, 2016",34,14.0,58.0,0,5.0,0,5,35,51,2
2016-10-09,"EW 41, 2016",24,11.0,57.0,2,8.0,3,6,45,48,4
2016-10-10,"EW 41, 2016",33,17.0,40.0,0,13.0,0,7,38,112,1
2016-10-11,"EW 41, 2016",30,19.0,65.0,0,9.0,0,8,33,112,1
2016-10-12,"EW 41, 2016",16,15.0,37.0,0,13.0,2,5,45,115,6
2016-10-13,"EW 41, 2016",17,13.0,41.0,0,8.0,0,4,31,31,7
2016-10-14,"EW 41, 2016",20,18.0,44.0,1,7.0,1,3,49,45,3
2016-10-15,"EW 41, 2016",25,12.0,30.0,1,3.0,0,4,66,21,2
2016-10-16,"EW 42, 2016",19,13.0,37.0,3,9.0,0,2,49,64,4
2016-10-17,"EW 42, 2016",12,21.0,52.0,0,10.0,1,3,51,86,2
2016-10-18,"EW 42, 2016",25,15.0,49.0,1,1.0,1,0,50,78,2
2016-10-19,"EW 42, 2016",4,18.0,49.0,0,6.0,0,4,33,100,3
2016-10-20,"EW 42, 2016",27,23.0,53.0,0,13.0,1,0,43,61,0
2016-10-21,"EW 42, 2016",17,10.0,47.0,0,10.0,0,6,50,20,6
2016-10-22,"EW 42, 2016",32,5.0,37.0,0,5.0,3,1,44,89,3
2016-10-23,"EW 43, 2016",31,9.0,44.0,1,7.0,0,4,44,48,4
2016-10-24,"EW 43, 2016",32,4.0,58.0,2,17.0,1,0,43,88,3
2016-10-25,"EW 43, 2016",24,5.0,55.0,2,14.0,0,2,39,31,2
2016-10-26,"EW 43, 2016",25,7.0,39.0,3,13.0,0,2,38,32,1
2016-10-27,"EW 43, 2016",28,11.0,58.0,0,10.0,0,1,42,28,3
2016-10-28,"EW 43, 2016",17,0.0,53.0,2,14.0,0,7,20,19,10
2016-10-29,"EW 43, 2016",16,3.0,42.0,1,5.0,3,2,28,17,2
2016-10-30,"EW 44, 2016",17,5.0,45.0,1,9.0,6,4,16,17,2
2016-10-31,"EW 44, 2016",15,,41.0,0,7.0,4,5,32,30,0
2016-11-01,"EW 44, 2016",19,,36.0,0,9.0,5,3,33,28,1
2016-11-02,"EW 44, 2016",29,,40.0,0,7.0,5,3,39,40,2
2016-11-03,"EW 44, 2016",29,,50.0,4,15.0,0,1,25,16,1
2016-11-04,"EW 44, 2016",25,,32.0,0,,5,9,26,13,4
2016-11-05,"EW 44, 2016",28,,,3,,5,2,25,20,1
2016-11-06,"EW 45, 2016",17,,,1,,1,1,24,25,2
